ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Абачи	Environment	Triplochiton scleroxylon specific diagnostic allergen extract (product)	411882006	411882006	0
Абаши	Environment	Triplochiton scleroxylon specific diagnostic allergen extract (product)	411882006	411882006	0
Абиетиновая	Environment	Abietic acid (substance)	255994007	255994007	0
Абиетиновая кислота	Environment	Abietic acid (substance)	255994007	255994007	0
Азорубин	Environment	Azorubin S stain (substance)	2159007	2159007	0
Акация	Environment	Acacia longifolia specific diagnostic allergen extract (product)	411898004	411898004	0
Акрил	Environment	Acrylic dental material (substance)	256511000	256511000	0
Алкалаза	Environment	Alkalase (substance)	711129007	711129007	0
Алоэ	Environment	Aloe (organism)	16326002	16326002	0
Алоэ настоящее	Environment	Aloe (organism)	16326002	16326002	0
альбумин	Environment	Allergy to albumin solution (finding)	294854007	0	1
Амарант	Environment	Amaranthus retroflexus specific diagnostic allergen extract (product)	411941007	411941007	0
Амброзия	Environment	Ambrosia (organism)	69334009	69334009	0
Амброзия голометельчатая	Environment	Ambrosia psilostachya specific diagnostic allergen extract (product)	411943005	411943005	0
Амброзия полыннолистная	Environment	Ambrosia elatior specific diagnostic allergen extract (product)	411942000	411942000	0
Амброзия трехраздельная	Environment	Ambrosia trifida specific diagnostic allergen extract (product)	411944004	411944004	0
Амилоглюкозидаза	Environment	Glucan 1,4-alpha-glucosidase (substance)	8385005	8385005	0
аммоний	Environment	Ammonium ion (substance)	116770007	116770007	0
ангидрид	Environment	0	0	0	3
Анизакис	Environment	Anisakis specific diagnostic allergen extract (product)	411895001	411895001	0
Апельсин	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Арника	Environment	Contact dermatitis caused by arnica (disorder)	40712008	0	1
Аскарида	Environment	Ascaris specific diagnostic allergen extract (product)	411896000	411896000	0
астра	Environment	Aster (organism)	75640001	75640001	0
Ацетат	Environment	Acetate (substance)	54526002	54526002	0
Ацетатное волокно	Environment	Cellulose acetate (substance)	68024001	68024001	0
багульник	Environment	Rosemary (substance)	227410007	227410007	0
Бадяга	Environment	0	0	0	3
Баия-грас	Environment	Paspalum notatum diagnostic allergen extract (product)	411788002	411788002	0
Бактерия	Environment	Bacterium (organism)	41146007	41146007	0
бальзам	Environment	0	0	0	3
бассейн	Environment	Swimming pool water (substance)	446278008	446278008	0
Бегония	Environment	0	0	0	3
Бегония вечноцветущая	Environment	0	0	0	3
Белье	Environment	Linen cloth (physical object)	989005	989005	0
Береза	Environment	Betula verrucosa specific diagnostic allergen extract (product)	411903000	411903000	0
Библиотечная пыль	Environment	Allergy to dust (finding)	390952000	0	1
Бирючина	Environment	Ligustrum vulgare specific diagnostic allergen extract (product)	411917009	411917009	0
Бирючина обыкновенная	Environment	Ligustrum vulgare specific diagnostic allergen extract (product)	411917009	411917009	0
блоха	Environment	Allergic reaction caused by flea bite (disorder)	419884005	0	1
Боярышник	Environment	Crataegus monogyna (substance)	763200007	763200007	0
Бромелин	Environment	Bromelains (substance)	387219000	387219000	0
Бузина	Environment	Sambucus nigra specific diagnostic allergen extract (product)	411931009	411931009	0
Бузина болотная	Environment	Sambucus nigra specific diagnostic allergen extract (product)	411931009	411931009	0
Бук	Environment	Fagus grandifolia specific diagnostic allergen extract (product)	411913008	411913008	0
Бук лесной	Environment	Fagus grandifolia specific diagnostic allergen extract (product)	411913008	411913008	0
Бук опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Бумага	Environment	Paper, device (physical object)	50833004	50833004	0
Бумажная оса полиста	Environment	Polistes species venom specific diagnostic allergen extract (product)	411938003	411938003	0
Бухарник	Environment	Holcus lanatus diagnostic allergen extract (product)	411785004	411785004	0
Бухарник шерстистый	Environment	Holcus lanatus diagnostic allergen extract (product)	411785004	411785004	0
БФ-6	Environment	Glue (substance)	57126000	57126000	0
бык	Environment	Allergy to animal dander (finding)	232347008	232347008	0
бытовой аллерген	Environment	Environmental allergy (finding)	426232007	0	1
Бычий сывороточный альбумин	Environment	Bovine serum albumin diagnostic allergen extract (product)	411564001	411564001	0
Вата	Environment	Cotton wool (physical object)	256562002	256562002	0
Верблюд	Environment	Genus Camelus (organism), Allergy to animal protein (finding)	423870005, 717234006	423870005, 717234006	0
Верблюжья шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
Верест	Environment	0	0	0	3
Верест обыкновенный	Environment	0	0	0	3
Ветер	Environment	Wind (event)	90569008	90569008	0
Вискоза	Environment	Cellulose (substance)	68992005	68992005	0
Вишня	Environment	Allergy to cherry (finding)	418051002	0	1
Вишня дерево	Environment	Allergy to cherry (finding)	418051002	0	1
Вишня опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Вишня птичья	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
влажность	Environment	Humidity (physical force)	3525006	3525006	0
вода	Environment	Water (substance)	11713004	11713004	0
Воздух	Environment	Air (substance)	15158005	15158005	0
Волнистый попугай	Environment	Melopsittacus undulatus (organism), Allergy to animal protein (finding)	9574000, 717234006	9574000, 717234006	0
Волнистый попугай оперение	Environment	Budgerigar feathers diagnostic allergen extract (product)	411568003	411568003	0
Волнистый попугай перья	Environment	Budgerigar feathers diagnostic allergen extract (product)	411568003	411568003	0
Волнистый попугай помет	Environment	Budgerigar droppings diagnostic allergen extract (product)	411565000	411565000	0
Волнистый попугай сыворотка	Environment	Budgerigar serum proteins diagnostic allergen extract (product)	411566004	411566004	0
волокно	Environment	Fiber (substance)	400293002	400293002	0
Волос	Environment	Hair structure (body structure)	386045008	386045008	0
Волосы	Environment	Hair structure (body structure)	386045009	386045009	0
газ	Environment	Gaseous substance (substance)	74947009	74947009	0
Гвоздика	Environment	Eupomatus dianthus (organism)	13574007	13574007	0
Гвоздика голландская	Environment	Eupomatus dianthus (organism)	13574007	13574007	0
Гексаметилендиизоцианат	Environment	Hexamethylene diisocyanate (substance)	711146005	711146005	0
Гель	Environment	0	0	0	3
гель для электродов кардиографа	Environment	0	0	0	3
Гемицеллюлоза	Environment	Hemicellulose (substance)	53834009	53834009	0
Георгина	Environment	Dahlia (organism)	256335006	256335006	0
Георгина культурная	Environment	Dahlia (organism)	256335006	256335006	0
Герань	Environment	Geranium (organism)	19713002	19713002	0
Гербера	Environment	0	0	0	3
Гиацинт	Environment	Hyacinthus (organism)	112621004	112621004	0
Гибискус	Environment	0	0	0	3
Гикори	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Гинкго	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Гинкго билоба	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
голубиного яйца	Environment	Allergy to animal protein (finding)	717234006	717234006	0
голубиное яйцо	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Голубь	Environment	Genus Columba (organism), Allergy to animal protein (finding)	422719004, 717234006	422719004, 717234006	0
Голубь оперение	Environment	Pigeon feathers diagnostic allergen extract (product)	411604008	411604008	0
Голубь перья	Environment	Pigeon feathers diagnostic allergen extract (product)	411604008	411604008	0
Голубь помет	Environment	Pigeon droppings diagnostic allergen extract (product)	411603002	411603002	0
Голубь сыворотка	Environment	Allergy to animal protein (finding)	717234006	717234006	0
горец	Environment	0	0	0	3
Горец птичий	Environment	0	0	0	3
Граб	Environment	Carpinus betulus specific diagnostic allergen extract (product)	411904006	411904006	0
Граб обыкновенный	Environment	Carpinus betulus specific diagnostic allergen extract (product)	411904006	411904006	0
грас	Environment	Family Poaceae (organism)	422304003	422304003	0
грасс	Environment	Family Poaceae (organism)	422304003	422304003	0
Гребенник	Environment	0	0	0	3
Гребенник обыкновенный	Environment	0	0	0	3
Грецкий орех	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Грецкий орех опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Грибковая плесень	Environment	Allergy to mold (finding), Allergy to fungus (finding)	419474003, 703934009	419474003, 703934009	0
грибок	Environment	Allergy to fungus (finding)	703934009	0	1
Гуаровая смола	Environment	Allergy to guar gum (finding)	294741005	0	1
Гуммиарабик	Environment	Acacia species diagnostic allergen extract (product)	411614004	411614004	0
гусиного яйца	Environment	Allergy to animal protein (finding)	717234006	717234006	0
гусиное яйцо	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Гусиные перья	Environment	Goose feathers diagnostic allergen extract (product)	411588004	411588004	0
Гусь	Environment	Anser anser (organism), Allergy to animal protein (finding)	125104001, 717234006	125104001, 717234006	0
Гусь оперение	Environment	Goose feathers diagnostic allergen extract (product)	411588004	411588004	0
Гусь перья	Environment	Goose feathers diagnostic allergen extract (product)	411588004	411588004	0
Гусь помет	Environment	Bird droppings (substance)	304635007	304635007	0
Дафния	Environment	Genus Daphnia (organism)	257535001	257535001	0
Дафния (водяная блоха)	Environment	Genus Daphnia (organism)	257535001	257535001	0
Двукисточник 	Environment	0	0	0	3
Двукисточник тростниковый	Environment	0	0	0	3
дезинфектор	Environment	Disinfectant (substance)	311942001	311942001	0
Дезодорант	Environment	Deodorant (product)	39432004	39432004	0
дергунец	Environment	Aedes communis diagnostic allergen extract (product)	411799000	411799000	0
дерево	Environment	Wood (substance)	14402002	14402002	0
Деревья	Environment	Tree (organism)	22097005	22097005	0
Дерен	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Джатовое дерево	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Джонсонова трава	Environment	Sorghum halepense diagnostic allergen extract (product)	411794005	411794005	0
Джут	Environment	0	0	0	3
Дикая рожь	Environment	Elymus triticoides diagnostic allergen extract (product)	411783006	411783006	0
Дикий кабан	Environment	Sus scrofa (organism), Allergy to animal protein (finding)	78678003, 717234006	78678003, 717234006	0
Дикий кабан эпителий	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Дифенилметандиизоцианат	Environment	Diphenylmethane diisocyanate specific immunoglobulin E (substance)	407140008	407140008	0
домашний клещ	Environment	Allergy to Dermatophagoides farinae protein (finding)	703902000	0	1
Домашняя пыль	Environment	Allergy to house dust (finding)	232349006	0	1
Домовой грибок	Environment	Allergy to fungus (finding)	419263009	419263009	0
Донник	Environment	Melilotus officinalis (organism)	84198009	84198009	0
древесина	Environment	Wood (substance)	14402002	14402002	0
Дрожжеподобный грибок	Environment	Allergy to fungus (finding)	419263009	419263009	0
Дуб	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Дуб опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Дубильная 	Environment	Tannic acid (substance)	41412001	41412001	0
Дурнишник	Environment	Xanthium commune specific diagnostic allergen extract (product)	411966006	411966006	0
Дурнишник обыкновенный	Environment	Xanthium commune specific diagnostic allergen extract (product)	411966006	411966006	0
Духи	Environment	Perfume (substance)	418785009	418785009	0
Дым	Environment	Smoke (substance)	64197008	64197008	0
Европейский шершень	Environment	Hornet (organism)	37788004	37788004	0
Ежа	Environment	Dactylis glomerata diagnostic allergen extract (product)	411781008	411781008	0
Ежа сборная	Environment	Dactylis glomerata diagnostic allergen extract (product)	411781008	411781008	0
Ель	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Ель обыкновенная	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Ель опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Жасмин	Environment	Ervatamia coronaria (organism)	36952007	36952007	0
Женьшень	Environment	Ginseng extract (substance)	412395006	412395006	0
животное	Environment	Allergy to animal protein (finding)	717234006	0	1
запах	Environment	Sense of smell, function (observable entity)	397686008	397686008	0
Заяц	Environment	Genus Lepus (organism), Allergy to animal protein (finding)	1464002, 717234006	1464002, 717234006	0
Заяц эпителий	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Зверобой	Environment	Hypericum perforatum (organism)	51621002	51621002	0
Зверобой продырявленный	Environment	Hypericum perforatum (organism)	51621002	51621002	0
Зеленка	Environment	Allergy to brilliant green (finding)	294448000	0	1
Зеленые кофейные зерна	Environment	Green coffee bean specific diagnostic allergen extract (product)	411861000	411861000	0
злаки	Environment	Cereal (substance)	23182003	23182003	0
Златоцвет	Environment	0	0	0	3
Золотарник	Environment	0	0	0	3
Золотая розга	Environment	0	0	0	3
Золотистый хомяк	Environment	Mesocricetus auratus (organism)	392389001, 717234006	392389001, 717234006	0
Золотистый хомяк шерсть	Environment	Allergy to wool (finding)	425605001	425605001	0
Золото	Environment	Allergy to gold (finding)	294238000	0	1
Золотой дождь	Environment	Laburnum anagyroides (organism)	10787004	10787004	0
Зольник	Environment	0	0	0	3
зооаллергия	Environment	Allergy to animal protein (finding)	717234006	0	1
Зубная паста	Environment	Toothpaste (substance)	48741003	48741003	0
Зяблик	Environment	Finch (organism), Allergy to animal protein (finding)	41731006, 717234006	41731006, 717234006	0
Зяблик оперение	Environment	Finch feathers diagnostic allergen extract (product)	411570007	411570007	0
Зяблик перья	Environment	Finch feathers diagnostic allergen extract (product)	411570007	411570007	0
Зяблик помет	Environment	Bird droppings (substance)	304635007	304635007	0
Ива	Environment	Salix caprea specific diagnostic allergen extract (product)	411930005	411930005	0
известь	Environment	Calcium oxide (substance)	34330005	34330005	0
Индейка	Environment	Subfamily Meleagridinae (organism), Allergy to animal protein (finding)	425134008, 717234006	425134008, 717234006	0
Индейка оперение	Environment	Turkey feathers diagnostic allergen extract (product)	411613005	411613005	0
Индейка перья	Environment	Turkey feathers diagnostic allergen extract (product)	411613005	411613005	0
Инсект	Environment	Allergy to insect protein (finding)	716187007	0	1
инсектная	Environment	Allergy to insect protein (finding)	716187007	0	1
Инсектная аллергия	Environment	Allergy to insect protein (finding)	716187007	0	1
Инсектные	Environment	Allergy to insect protein (finding)	716187007	0	1
Испагула	Environment	0	0	0	3
кабан	Environment	Sus scrofa (organism), Allergy to animal protein (finding)	78678003, 717234006	78678003, 717234006	0
Кайюпутовое дерево	Environment	Cajeput tree pollen (substance)	260134009	260134009	0
камедь	Environment	Polysaccharide (substance)	71544008	71544008	0
Камочка	Environment	Salsola kali specific diagnostic allergen extract (product)	411962008	411962008	0
Канарейка	Environment	Serinus canaria (organism), Allergy to animal protein (finding)	396524007, 717234006	396524007, 717234006	0
Канарейка оперение	Environment	Canary feathers diagnostic allergen extract (product)	411569006	411569006	0
Канарейка перья	Environment	Canary feathers diagnostic allergen extract (product)	411569006	411569006	0
Канарейка помет	Environment	Bird droppings (substance)	304635007	304635007	0
Канарейка сыворотка	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Канифоль	Environment	Colophony (substance)	255840003	255840003	0
Капок	Environment	0	0	0	3
Карбоксифталевый ангидрид	Environment	Phthalic anhydride (substance)	77249007	77249007	0
Кария	Environment	Carya pollen (substance)	472740000	472740000	0
Кармазин	Environment	0	0	0	3
Кармин	Environment	Dactylopius coccus diagnostic allergen extract (product)	411678007	411678007	0
Касторовое масло	Environment	Allergy to castor oil (finding)	294318004	0	1
Каучук	Environment	Allergy to rubber (finding)	419412007	0	1
кашемир	Environment	American Cashmere goat breed (organism)	131617000	131617000	0
Каштан	Environment	Castanea sativa pollen specific diagnostic allergen extract (product)	411908009	411908009	0
Каштан конский	Environment	Aesculus hippocastanum pollen specific diagnostic allergen extract (product)	411900002	411900002	0
кедр	Environment	Cedar pollen (substance)	289946009	289946009	0
кедр опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Кизил	Environment	0	0	0	3
Кипарис	Environment	Cupressus sempervirens specific diagnostic allergen extract (product)	411911005	411911005	0
Кипарис вечнозеленый	Environment	Cupressus sempervirens specific diagnostic allergen extract (product)	411911005	411911005	0
Кипрей	Environment	Senecio lautus (organism)	10468006	10468006	0
Клевер	Environment	Trifolium (organism)	112604008	112604008	0
клей	Environment	Glue (substance)	57126000	57126000	0
клей БФ-6	Environment	Glue (substance)	57126000	57126000	0
Клен	Environment	Allergy to tree pollen (finding)	419263009	419263009	0
Клен опилки	Environment	Allergy to wood dust (finding)	782552007	782552007	0
Клен ясенелистный	Environment	Acer negundo specific diagnostic allergen extract (product)	411899007	411899007	0
клещ	Environment	Mite (organism)	84073006	84073006	0
Клещ домашней пыли	Environment	Allergy to dust mite protein (finding)	232350006	0	1
клещевина	Environment	Ricinus communis (organism)	35121001	35121001	0
клещевой теранисимус	Environment	0	0	0	3
книжная пыль	Environment	Book (physical object), Allergy to dust (finding)	278212002, 390952000	278212002, 390952000	0
Коза	Environment	SRD goat breed (organism), Allergy to animal protein (finding)	131640001, 717234006	131640001, 717234006	0
Коза эпителий	Environment	Goat epithelium diagnostic allergen extract (product)	411587009	411587009	0
Колготки	Environment	Tights (physical object)	228187009	228187009	0
Коллаген	Environment	Allergy to collagen (finding)	294888001	0	1
Колосняк песчаный	Environment	Elymus triticoides diagnostic allergen extract (product)	411783006	411783006	0
Колосок душистый	Environment	Anthoxanthum odoratum diagnostic allergen extract (product)	411776004	411776004	0
Комар	Environment	Aedes communis diagnostic allergen extract (product)	411799000	411799000	0
Комар обыкновенный	Environment	Aedes communis diagnostic allergen extract (product)	411799000	411799000	0
Комнатная муха	Environment	Fly (organism)	10147004	10147004	0
кондиционер	Environment	0	0	0	3
конская перхоть	Environment	Allergy to horse dander (finding)	419063004	0	1
кора	Environment	Allergy to wood dust (finding)	782552007	0	1
Корова	Environment	Allergy to animal protein (finding)	717234006	717234006	0
Корова эпителий	Environment	Cow epithelium (substance)	256410001	256410001	0
Королевская пальма	Environment	Royal palm turkey (organism)	62124009	62124009	0
Коронки	Environment	Structure of crown of tooth (body structure)	75628001	75628001	0
Косметика	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
косметическое средство	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
косметическое средство от солнечных ожогов	Environment	Allergic reaction caused by cosmetics (disorder)	418282006	0	1
Костер полевой	Environment	Brome grass pollen (substance)	260096007	260096007	0
Кохия веничная	Environment	Kochia scoparia specific diagnostic allergen extract (product)	411955004	411955004	0
Кошениль	Environment	Dactylopius coccus diagnostic allergen extract (product)	411678007	411678007	0
Кошка	Environment	Allergy to cat dander (finding)	232346004	0	1
Кошка	Environment	Felis silvestris (organism), Allergy to animal protein (finding)	33384004, 717234006	33384004, 717234006	0
Кошка сыворотка	Environment	Cat serum albumin diagnostic allergen extract (product)	411573009	411573009	0
Кошка эпителий	Environment	Cat epithelium (substance), Allergy to animal protein (finding)	256409006, 717234006	256409006, 717234006	0
Красители	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
Краситель	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
Краска	Environment	Allergic contact dermatitis caused by dye (disorder)	200845001	0	1
краска для волос	Environment	Allergic reaction caused by hair dye (disorder)	473104002	473104002	0
Крем	Environment	Cream (substance)	255621006	255621006	0
