ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
Абрикос	Food	Apricot (substance)	735214002	735214002	0
Авокадо	Food	Avocado (substance)	735249009	735249009	0
Айва	Food	Quince (substance)	227443006	227443006	0
акула	Food	Shark - food (substance)	227101009	227101009	0
алкоголь	Food	Allergy to ethyl alcohol (finding)	420140004	0	1
Алыча 	Food	Prunus domestica diagnostic allergen extract (product)	411766002	0	1
Амарант	Food	Amaranthus retroflexus specific diagnostic allergen extract (product)	411941007	411941007	0
Амарант щирица	Food	Amaranthus retroflexus specific diagnostic allergen extract (product)	411941007	411941007	0
амилаза	Food	Amylase (substance)	387031005	387031005	0
Ананас	Food	Allergy to pineapple (finding)	1,35E+13	0	1
Анис	Food	Anise seed (substance)	227376006	227376006	0
Анчоус	Food	Anchovy (substance)	735337006	735337006	0
Апельсин	Food	Orange - fruit (substance)	256306003	256306003	0
аппенцеллер	Food	Appenzeller dog breed (organism)	132538002	132538002	0
Арахис	Food	Allergy to peanut (finding)	91935009	0	1
Арахис жареный	Food	Dry roasted peanuts (substance)	227509004	227509004	0
Арахисовая паста	Food	Peanut butter (substance)	102260001	102260001	0
Арахисовое масло	Food	Allergy to Arachis oil (finding)	294317009	0	1
Арбуз	Food	Allergy to watermelon (finding)	419298007	0	1
Артишок	Food	Artichoke (substance)	227215000	227215000	0
Аспартам	Food	Non-allergic hypersensitivity to aspartame (finding)	609548005	0	1
Базилик	Food	Basil (substance)	735106000	735106000	0
Баклажан	Food	Aubergine (substance)	227219006	227219006	0
Банан	Food	Allergy to banana (finding)	714332003	0	1
Баранина	Food	Mutton (substance)	710184005	710184005	0
Белая смородина	Food	White currant (substance)	227448002	227448002	0
Белая фасоль	Food	White bean (substance)	260168003	260168003	0
белок	Food	Allergy to egg protein (finding)	213020009	0	1
белок животного происхождения	Food	Allergy to animal protein (finding)	717234006	0	1
белок коровьего молока	Food	Allergy to cow's milk protein (finding)	782555009	0	1
белок куриного яйца	Food	Allergy to egg protein (finding)	213020009	0	1
белок молока	Food	Milk protein (substance)	10827009	10827009	0
Белокочанная капуста	Food	White cabbage (substance)	227229004	227229004	0
Бета – лактоглобулин	Food	Beta-lactoglobulin (substance)	710037007	710037007	0
бобовые	Food	Allergy to bean (finding)	703925004	0	1
Бобы	Food	Allergy to bean (finding)	703925004	0	1
болгарский перец	Food	Capsicum (substance)	421556008	421556008	0
Бразильский орех	Food	Bertholletia excelsa diagnostic allergen extract (product)	411634003	411634003	0
Брокколи	Food	Broccoli (substance)	735123009	735123009	0
Брусника	Food	Cranberries (substance)	227421003	227421003	0
Брынза	Food	Allergy to cheese (finding)	300914000	0	1
Брынза коровья	Food	Allergy to cheese (finding)	300914000	0	1
Брынза овечья	Food	Allergy to cheese (finding)	300914000	0	1
Брюссельская капуста	Food	Brussels sprouts (substance)	735122004	735122004	0
Бурый рис	Food	Brown rice (substance)	226756007	226756007	0
Ваниль	Food	Vanilla (substance)	412070003	412070003	0
Вешенки	Food	Pleurotus ostreatus (organism)	49647004	49647004	0
вино	Food	Wine (substance)	35748005	35748005	0
Виноград 	Food	Grapes (substance)	256317002	256317002	0
виски	Food	Whisky (substance)	226528004	226528004	0
