ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
аб	Medication	Antibiotic (product) 	255631004	255631004	0
аб терапия	Medication	Antibiotic (product) 	255631004	255631004	0
абактал	Medication	Pefloxacin (substance)	96089009	96089009	0
абиотик	Medication	Antibiotic (product) 	255631004	255631004	0
агент, регулирующий гонадный гормон	Medication	Allergy to gonad regulating hormone agent (finding)	294814005	0	1
агонист альфа-адренорецепторов	Medication	Allergy to alpha adrenergic receptor agonist (finding)	294024003	0	1
агонист бета-2-адренорецепторов	Medication	Allergy to beta-2 adrenergic receptor agonist (finding)	294033001	0	1
аденозин	Medication	Allergy to adenosine (finding)	294975003	0	1
адреналин	Medication	Epinephrine (substance)	387362001	387362001	0
азатиоприн	Medication	Allergy to azathioprine (finding)	293799001	0	1
азеластин	Medication	Allergy to azelastine (finding)	294115009	0	1
азитромицин	Medication	Allergy to azithromycin (finding)	294472005	0	1
азлоциллин	Medication	Allergy to azlocillin (finding)	294516001	0	1
азтреонамом	Medication	Allergy to aztreonam (finding)	294565006	0	1
акарбоза	Medication	Allergy to acarbose (finding)	294742003	0	1
аккузид	Medication	Non-allergic hypersensitivity to quinapril (finding)	609544007	0	1
акларубицин	Medication	Allergy to aclarubicin (finding)	293764000	0	1
активированный уголь	Medication	Allergy to activated charcoal (finding)	294265007	0	1
алдеслейкин	Medication	Allergy to aldesleukin (finding)	293733002	0	1
алкалоид барвинка	Medication	Allergy to Vinca alkaloid (finding)	293792005	0	1
алкалоид белладонны	Medication	Allergy to belladonna alkaloid (finding)	294067006	0	1
алкалоид раувольфия	Medication	Allergy to rauwolfia alkaloid (finding)	782592009	0	1
алкалоид спорыньи	Medication	Allergy to ergot alkaloid (finding)	295066007	0	1
алкилирующий агент	Medication	Allergy to alkylating agent (finding)	293740001	0	1
аллопуринол	Medication	Allergy to allopurinol (finding)	294220003	0	1
алмагель	Medication	Aluminium hydroxide (substance), Magnesium hydroxide (substance)	273944007, 387337001	273944007, 387337001	0
алтеплаза	Medication	Allergy to alteplase (finding)	295110005	0	1
альбендазол	Medication	Allergy to albendazole (finding)	294459009	0	1
альверин	Medication	Allergy to alverine (finding)	293691009	0	1
альфа-токоферол	Medication	Allergy to alpha-tocopherol (finding)	294926004	0	1
амантадин	Medication	Allergy to amantadine (finding)	293811005	0	1
амикацин	Medication	Allergy to amikacin (finding)	294463002	0	1
амилорид	Medication	Allergy to amiloride (finding)	295010007	0	1
аминоглютетимид	Medication	Allergy to aminoglutethimide (finding)	293787008	0	1
аминофиллин	Medication	Allergy to aminophylline (finding)	294158008	0	1
аминохинолин	Medication	Allergy to aminoquinoline (finding)	860902005	0	1
амиодарон	Medication	Allergy to amiodarone (finding)	294988000	0	1
амитриптилин	Medication	Allergy to amitriptyline (finding)	293829000	0	1
амифостина	Medication	Allergy to amifostine (finding)	293732007	0	1
амлодипин	Medication	Allergy to amlodipine (finding)	294002003	0	1
амоксапин	Medication	Allergy to amoxapine (finding)	293828008	0	1
амоксиклав	Medication	Clavulanic acid (substance), Amoxicillin (substance)	395939008, 372687004	395939008, 372687004	0
амоксициллин	Medication	Allergy to amoxicillin (finding)	294505008	0	1
аморолфин	Medication	Allergy to amorolfine (finding)	294346002	0	1
ампициллин	Medication	Allergy to ampicillin (finding)	294506009	0	1
амсакрин	Medication	Allergy to amsacrine (finding)	293778004	0	1
амфепрамон	Medication	Allergy to amfepramone (finding)	293805007	0	1
амфетамин и производное амфетамина	Medication	Allergy to amfetamine and amfetamine derivative (finding)	293957008	0	1
амфотерицин	Medication	Allergy to amphotericin (finding)	294349009	0	1
анаболический стероид	Medication	Allergy to anabolic steroid (finding)	294757005	0	1
аналог метадона	Medication	Allergy to methadone analog (finding)	293590004	0	1
аналог петидина	Medication	Allergy to pethidine analog (finding)	293603003	0	1
андроген	Medication	Allergy to androgen (finding)	294773004	0	1
анистреплаза	Medication	Allergy to anistreplase (finding)	295111009	0	1
анкрод	Medication	Allergy to ancrod (finding)	294871008	0	1
антагонист альфа-адренорецепторов	Medication	Allergy to alpha adrenergic receptor antagonist (finding)	293985005	0	1
антагонист бензодиазепиновых рецепторов	Medication	Allergy to benzodiazepine receptor antagonist (finding)	294270000	0	1
антагонист бета-адренорецепторов	Medication	Allergy to beta adrenergic receptor antagonist (finding)	293962009	0	1
антагонист гистаминовых рецепторов h2	Medication	Allergy to histamine H2 receptor antagonist (finding)	293649007	0	1
