ID	parent	snomed_name	snomed_code	snomed_partial_code	is_direct
сыпь	Manifestation	Eruption of skin (disorder)	271807003	0	1
отек	Manifestation	Edema (finding)	267038008	0	1
першение в горле	Manifestation	Throat irritation (finding)	162400007	0	1
гемия	Manifestation	0	0	0	3
дрожь	Manifestation	Tremor (finding)	 26079004	0	1
онемение тела	Manifestation	Numbness (finding)	44077006	0	1
кашель	Manifestation	 Cough (finding)	49727002	0	1
сухость во рту	Manifestation	Xerostomia (disorder)	87715008	0	1
респираторный аллергоз	Manifestation	Allergic disorder of respiratory system (disorder)	421092003	0	1
пыльцевая сенсибилизация	Manifestation	Allergy to pollen (finding)	300910009	0	1
сенсибилизация	Manifestation	0	0	0	3
атопический дерматит	Manifestation	Atopic dermatitis (disorder)	24079001	0	1
зуд	Manifestation	Itching (finding)	418290006	0	1
кожные проявления	Manifestation	Eruption of skin (disorder)	271807003	0	1
выделения из носа	Manifestation	 Nasal discharge (finding)	64531003	0	1
потливость	Manifestation	Sweating (finding)	415690000	0	1
аллергический отек	Manifestation	Edema (finding)	267038008	267038008	0
отек верхнего века	Manifestation	 Edema of upper eyelid (disorder)	700339006	0	1
Астма	Manifestation	Asthma (disorder)	195967001	0	1
поливалентная аллергия	Manifestation	0	0	0	3
сухой кашель	Manifestation	Dry cough (finding)	11833005	0	1
отек слизистой	Manifestation	Mucous membrane edema (finding)	95353000	0	1
сезонный поллиноз	Manifestation	Allergic rhinitis caused by pollen (disorder), Seasonal allergic conjunctivitis (disorder)	21719001, 231855007	21719001, 231855007	0
расстройство дыхания	Manifestation	 Abnormal breathing (finding)	386813002	0	1
бронхиальная астма	Manifestation	Asthma (disorder)	195967001	0	1
слабость	Manifestation	Asthenia (finding)	13791008	0	1
все плывет перед глазами	Manifestation	Dizziness (finding)	404640003	0	1
плохая переносимость	Manifestation	Increased intolerance (finding)	102461004	0	1
аллергодерматит	Manifestation	Allergic contact dermatitis (disorder)	238575004	0	1
расстройство	Manifestation	0	0	0	3
затруднение дыхания	Manifestation	 Abnormal breathing (finding)	386813002	0	1
контактный дерматит	Manifestation	Allergic contact dermatitis (disorder)	238575004	0	1
шелушение	Manifestation	Peeling of skin (finding)	271767006	0	1
преснкопальное состояние	Manifestation	 Near syncope (disorder)	427461000	0	1
отек глаз	Manifestation	Periorbital edema (disorder)	49563000	0	1
